size,function,add,mul
2.0,1.0,6.0,4.0
2.0,2.0,6.0,8.0
2.0,3.0,7.0,6.0
4.0,1.0,36.0,50.0
4.0,2.0,36.0,58.0
4.0,3.0,19.0,6.0
8.0,1.0,92.0,110.0
8.0,2.0,92.0,126.0
8.0,3.0,67.0,6.0
16.0,1.0,252.0,230.0
16.0,2.0,252.0,262.0
16.0,3.0,259.0,6.0
32.0,1.0,764.0,470.0
32.0,2.0,764.0,534.0
32.0,3.0,1027.0,6.0
64.0,1.0,2556.0,950.0
64.0,2.0,2556.0,1078.0
64.0,3.0,4099.0,6.0
128.0,1.0,9212.0,1910.0
128.0,2.0,9212.0,2166.0
128.0,3.0,16387.0,6.0
256.0,1.0,34812.0,3830.0
256.0,2.0,34812.0,4342.0
256.0,3.0,65539.0,6.0
512.0,1.0,135164.0,7670.0
512.0,2.0,135164.0,8694.0
512.0,3.0,262147.0,6.0
